data,label,50_xc_cosine,50_xc_mahalanobis,50_xc_hamming,50_x4_cosine,50_x4_mahalanobis,50_x4_hamming,50_bay_cosine,50_bay_mahalanobis,50_bay_hamming,50_moe_cosine,50_moe_mahalanobis,50_moe_hamming
SG/BCNB/WSIs/71.jpg_000,0,0.02311905496869071,1.6066295822600576,0.6666666666666666,0.16396847095852674,48.91769299852347,0.6666666666666666,0.22000822091693628,36.89280345937747,0.6666666666666666,0.01529081937445953,59.573149607959884,0.6666666666666666
SG/BCNB/WSIs/71.jpg_001,1,0.020703262468156902,1.6048097110718276,1.0,0.17029703796669182,49.244321025515006,1.0,0.22934081003895535,,1.0,0.04351953930140573,77.68158850057453,1.0
SG/BCNB/WSIs/71.jpg_002,0,0.029502970697531716,1.6329197459786091,0.3333333333333333,0.20662760410132475,46.3757242598725,0.3333333333333333,0.2826733799708321,,0.3333333333333333,0.007419372815245184,66.58044853662281,0.3333333333333333
SG/BCNB/WSIs/71.jpg_003,0,0.03673594238111033,1.9369589306253951,0.6666666666666666,0.21181429964191734,59.11241952166679,0.6666666666666666,0.29090769307280273,,0.6666666666666666,0.04082812156769544,46.518755626434675,0.6666666666666666
SG/BCNB/WSIs/71.jpg_004,0,0.00622210713761262,0.4881519055893015,0.3333333333333333,0.152980889800013,45.27304553079094,0.3333333333333333,0.20466899283829154,24.635966827625168,0.3333333333333333,0.016134120305257738,17.821778971105825,0.3333333333333333
SG/BCNB/WSIs/71.jpg_005,0,0.005742355171306168,0.7168501323316142,0.6666666666666666,0.16036560609355088,47.24149318099265,0.6666666666666666,0.2167594262214606,,0.6666666666666666,0.040973301042779964,,0.6666666666666666
SG/BCNB/WSIs/71.jpg_000,0,0.02311905496869071,1.6066295822600576,0.6666666666666666,0.16396847095852674,48.91769299852347,0.6666666666666666,0.22000822091693628,36.89280345937747,0.6666666666666666,0.01529081937445953,59.573149607959884,0.6666666666666666
SG/BCNB/WSIs/71.jpg_001,0,0.020703262468156902,1.6048097110718276,1.0,0.17029703796669182,49.244321025515006,1.0,0.22934081003895535,,1.0,0.04351953930140573,77.68158850057453,1.0
SG/BCNB/WSIs/71.jpg_002,0,0.029502970697531716,1.6329197459786091,0.3333333333333333,0.20662760410132475,46.3757242598725,0.3333333333333333,0.2826733799708321,,0.3333333333333333,0.007419372815245184,66.58044853662281,0.3333333333333333
SG/BCNB/WSIs/71.jpg_003,1,0.03673594238111033,1.9369589306253951,0.6666666666666666,0.21181429964191734,59.11241952166679,0.6666666666666666,0.29090769307280273,,0.6666666666666666,0.04082812156769544,46.518755626434675,0.6666666666666666
SG/BCNB/WSIs/71.jpg_004,0,0.00622210713761262,0.4881519055893015,0.3333333333333333,0.152980889800013,45.27304553079094,0.3333333333333333,0.20466899283829154,24.635966827625168,0.3333333333333333,0.016134120305257738,17.821778971105825,0.3333333333333333
SG/BCNB/WSIs/71.jpg_005,0,0.005742355171306168,0.7168501323316142,0.6666666666666666,0.16036560609355088,47.24149318099265,0.6666666666666666,0.2167594262214606,,0.6666666666666666,0.040973301042779964,,0.6666666666666666
SG/BCNB/WSIs/71.jpg_000,0,0.02311905496869071,1.6066295822600576,0.6666666666666666,0.16396847095852674,48.91769299852347,0.6666666666666666,0.22000822091693628,36.89280345937747,0.6666666666666666,0.01529081937445953,59.573149607959884,0.6666666666666666
SG/BCNB/WSIs/71.jpg_001,0,0.020703262468156902,1.6048097110718276,1.0,0.17029703796669182,49.244321025515006,1.0,0.22934081003895535,,1.0,0.04351953930140573,77.68158850057453,1.0
SG/BCNB/WSIs/71.jpg_002,0,0.029502970697531716,1.6329197459786091,0.3333333333333333,0.20662760410132475,46.3757242598725,0.3333333333333333,0.2826733799708321,,0.3333333333333333,0.007419372815245184,66.58044853662281,0.3333333333333333
SG/BCNB/WSIs/71.jpg_003,0,0.03673594238111033,1.9369589306253951,0.6666666666666666,0.21181429964191734,59.11241952166679,0.6666666666666666,0.29090769307280273,,0.6666666666666666,0.04082812156769544,46.518755626434675,0.6666666666666666
SG/BCNB/WSIs/71.jpg_004,1,0.00622210713761262,0.4881519055893015,0.3333333333333333,0.152980889800013,45.27304553079094,0.3333333333333333,0.20466899283829154,24.635966827625168,0.3333333333333333,0.016134120305257738,17.821778971105825,0.3333333333333333
SG/BCNB/WSIs/71.jpg_005,0,0.005742355171306168,0.7168501323316142,0.6666666666666666,0.16036560609355088,47.24149318099265,0.6666666666666666,0.2167594262214606,,0.6666666666666666,0.040973301042779964,,0.6666666666666666
SG/BCNB/WSIs/910.jpg_000,1,0.009061810891331401,1.8035097021123698,0.6666666666666666,0.14334982007362063,,0.6666666666666666,0.19889402248462285,20.231363847166776,0.6666666666666666,0.004903184748432654,26.13340555098615,0.6666666666666666
SG/BCNB/WSIs/910.jpg_001,0,0.014737918387393245,0.8502292807971737,1.0,0.1546991060682994,,1.0,0.21585642981540676,14.50828959780544,1.0,0.03204581500072656,91.04909444598873,1.0
SG/BCNB/WSIs/910.jpg_002,0,0.02146875397788972,2.051514849150747,0.3333333333333333,0.18026764240653237,,0.3333333333333333,0.2528634962741807,,0.3333333333333333,0.027363042819942063,75.86645499276291,0.3333333333333333
